Date,Elevation (ft)
6/15/1966,4194.75
7/15/1966,4193.75
8/15/1966,4193.75
9/15/1966,4193.25
10/15/1966,4193
11/15/1966,4192.95
12/15/1966,4193.15
1/15/1967,4193.1
3/15/1967,4193.55
4/15/1967,4193.75
5/15/1967,4193.85
6/15/1967,4194.1
7/15/1967,4194.35
8/15/1967,4193.9
9/15/1967,4193.7
10/15/1967,4193.4
11/15/1967,4193.35
12/15/1967,4193.4
1/15/1968,4193.55
2/15/1968,4193.85
3/15/1968,4194.25
4/15/1968,4194.65
5/15/1968,4194.75
6/15/1968,4194.75
7/15/1968,4194.65
8/15/1968,4194.25
9/15/1968,4194
10/15/1968,4193.75
11/15/1968,4193.8
12/15/1968,4193.95
1/15/1969,4194.25
2/15/1969,4194.9
3/15/1969,4195.4
4/15/1969,4195.8
5/15/1969,4196
6/15/1969,4195.85
7/15/1969,4195.7
8/15/1969,4195.2
9/15/1969,4194.8
10/15/1969,4194.4
11/15/1969,4194.4
12/15/1969,4194.55
1/15/1970,4194.85
2/15/1970,4195.2
3/15/1970,4195.35
4/15/1970,4195.4
5/15/1970,4195.4
6/15/1970,4195.4
7/15/1970,4195.25
8/15/1970,4194.9
9/15/1970,4194.4
10/15/1970,4194.15
11/15/1970,4194.2
12/15/1970,4194.45
1/15/1971,4194.8
2/15/1971,4195.2
3/15/1971,4195.55
4/15/1971,4195.85
5/15/1971,4196.45
6/15/1971,4196.7
7/15/1971,4196.65
8/15/1971,4196.4
9/15/1971,4196.1
10/15/1971,4195.95
11/15/1971,4196.1
12/15/1971,4196.4
1/15/1972,4196.85
2/15/1972,4197.25
3/15/1972,4197.55
4/15/1972,4197.85
5/15/1972,4197.95
6/15/1972,4198
7/15/1972,4197.85
8/15/1972,4197.45
9/15/1972,4197.05
10/15/1972,4196.8
11/15/1972,4196.95
12/15/1972,4197.15
1/15/1973,4197.4
2/15/1973,4197.75
3/15/1973,4198.15
4/15/1973,4198.55
5/15/1973,4198.8
6/15/1973,4198.8
7/15/1973,4198.6
8/15/1973,4198.3
9/15/1973,4197.95
10/15/1973,4197.7
11/15/1973,4197.65
12/15/1973,4197.85
1/15/1974,4198.2
2/15/1974,4198.55
3/15/1974,4198.9
4/15/1974,4199.15
5/15/1974,4199.3
6/15/1974,4199.3
7/15/1974,4199.1
8/15/1974,4198.7
9/15/1974,4198.2
10/15/1974,4197.85
11/15/1974,4197.9
12/15/1974,4197.95
1/15/1975,4198.05
2/15/1975,4198.35
3/15/1975,4198.55
4/15/1975,4198.8
5/15/1975,4198.95
6/15/1975,4199.2
7/15/1975,4199.25
8/15/1975,4199.2
9/15/1975,4198.95
10/15/1975,4198.8
11/15/1975,4198.8
12/15/1975,4198.85
1/15/1976,4199.15
2/15/1976,4199.5
3/15/1976,4199.85
4/15/1976,4200.1
5/15/1976,4200.3
6/15/1976,4200.25
7/15/1976,4200.15
8/15/1976,4199.75
9/15/1976,4199.45
10/15/1976,4199.25
11/15/1976,4199.1
12/15/1976,4199
1/15/1977,4199.05
2/15/1977,4199.15
3/15/1977,4199.3
4/15/1977,4199.3
5/15/1977,4199.25
6/15/1977,4199.35
7/15/1977,4199
8/15/1977,4198.5
9/15/1977,4198.3
10/15/1977,4198.05
11/15/1977,4197.85
12/15/1977,4197.8
1/15/1978,4197.9
2/15/1978,4198.2
3/15/1978,4198.4
4/15/1978,4198.6
5/15/1978,4198.6
6/15/1978,4198.6
7/15/1978,4198.35
8/15/1978,4197.9
9/15/1978,4197.55
10/15/1978,4197.45
11/15/1978,4197.3
12/15/1978,4197.35
1/15/1979,4197.55
2/15/1979,4197.85
3/15/1979,4198.15
4/15/1979,4198.4
5/15/1979,4198.4
6/15/1979,4198.25
7/15/1979,4197.9
8/15/1979,4197.5
9/15/1979,4197.1
10/15/1979,4196.75
11/15/1979,4196.6
12/15/1979,4196.6
1/15/1980,4196.8
2/15/1980,4197.1
3/15/1980,4197.65
4/15/1980,4197.8
5/15/1980,4198
6/15/1980,4198.45
7/15/1980,4198.45
8/15/1980,4198.2
9/15/1980,4197.95
10/15/1980,4197.8
11/15/1980,4197.8
12/15/1980,4197.85
1/15/1981,4198.1
2/15/1981,4198.35
3/15/1981,4198.45
4/15/1981,4198.6
5/15/1981,4198.6
6/15/1981,4198.65
7/15/1981,4198.35
8/15/1981,4197.9
9/15/1981,4197.5
10/15/1981,4197.3
11/15/1981,4197.3
12/15/1981,4197.35
1/15/1982,4197.55
2/15/1982,4197.7
3/15/1982,4197.9
4/15/1982,4198.3
5/15/1982,4198.5
6/15/1982,4198.7
7/15/1982,4198.6
8/15/1982,4198.5
9/15/1982,4198.25
10/15/1982,4198.65
11/15/1982,4198.8
12/15/1982,4199.1
1/15/1983,4199.5
2/15/1983,4200.05
3/15/1983,4200.3
4/15/1983,4200.75
5/15/1983,4201.1
6/15/1983,4201.5
7/15/1983,4201.65
8/15/1983,4201.75
9/15/1983,4201.9
10/15/1983,4202.15
11/15/1983,4202.45
12/15/1983,4202.9
1/15/1984,4203.45
2/15/1984,4203.9
3/15/1984,4204.35
4/15/1984,4204.75
5/15/1984,4205.05
6/15/1984,4205.4
7/15/1984,4205.6
8/15/1984,4206.1
9/15/1984,4206.95
10/15/1984,4207.15
11/15/1984,4207.35
12/15/1984,4207.65
1/15/1985,4208
2/15/1985,4208.25
3/15/1985,4208.65
4/15/1985,4209
5/15/1985,4209.25
6/15/1985,4209.25
7/15/1985,4209
8/15/1985,4208.4
9/15/1985,4208
10/15/1985,4207.8
11/15/1985,4207.9
12/15/1985,4208.1
1/15/1986,4208.45
2/15/1986,4208.75
3/15/1986,4209.35
4/15/1986,4209.9
5/15/1986,4210.65
6/15/1986,4211.033
7/15/1986,4210.75
8/15/1986,4210.6
9/15/1986,4210.2
10/15/1986,4210.1
11/15/1986,4210.2
12/15/1986,4210.4
1/15/1987,4210.7
2/15/1987,4210.9
3/15/1987,4211.05
4/15/1987,4211.15
5/15/1987,4211.1
6/15/1987,4211
7/15/1987,4210.45
8/15/1987,4210
9/15/1987,4209.5
10/15/1987,4209
11/15/1987,4208.9
12/15/1987,4208.85
1/15/1988,4208.95
2/15/1988,4209.05
3/15/1988,4208.95
4/15/1988,4208.85
5/15/1988,4208.7
6/15/1988,4208.45
7/15/1988,4208
8/15/1988,4207.35
9/15/1988,4206.65
10/15/1988,4206.2
11/15/1988,4205.9
12/15/1988,4205.8
1/15/1989,4206
2/15/1989,4206
3/15/1989,4206
4/15/1989,4206.1
5/15/1989,4206
6/15/1989,4205.75
7/15/1989,4205.25
8/15/1989,4204.85
9/15/1989,4204.1
10/15/1989,4203.916
11/15/1989,4203.743
12/15/1989,4203.79
1/15/1990,4203.848
2/15/1990,4203.868
3/15/1990,4204
4/15/1990,4203.95
5/15/1990,4203.732
6/15/1990,4203.497
7/15/1990,4203.055
8/15/1990,4202.484
9/15/1990,4202.03
10/15/1990,4201.629
11/15/1990,4201.433
12/15/1990,4201.235
1/15/1991,4201.326
2/15/1991,4201.471
3/15/1991,4201.61
4/15/1991,4201.607
5/15/1991,4201.655
6/15/1991,4201.49
7/15/1991,4201.09
8/15/1991,4200.597
9/15/1991,4200.277
10/15/1991,4200.01
11/15/1991,4199.867
12/15/1991,4199.803
1/15/1992,4199.813
2/15/1992,4199.91
3/15/1992,4200.081
4/15/1992,4200.057
5/15/1992,4199.765
6/15/1992,4199.343
7/15/1992,4198.913
8/15/1992,4198.374
9/15/1992,4197.973
10/15/1992,4197.552
11/15/1992,4197.623
12/15/1992,4197.506
1/15/1993,4197.648
2/15/1993,4197.793
3/15/1993,4197.935
4/15/1993,4197.923
5/15/1993,4197.865
6/15/1993,4197.717
7/15/1993,4197.345
8/15/1993,4197.071
9/15/1993,4196.77
10/15/1993,4196.861
11/15/1993,4197
12/15/1993,4197.142
1/15/1994,4197.374
2/15/1994,4197.589
3/15/1994,4197.906
4/15/1994,4198.127
5/15/1994,4198.165
6/15/1994,4197.997
7/15/1994,4197.623
8/15/1994,4197.2
9/15/1994,4196.887
10/15/1994,4196.945
11/15/1994,4196.927
12/15/1994,4197.042
1/15/1995,4197.161
2/15/1995,4197.514
3/15/1995,4197.661
4/15/1995,4197.76
5/15/1995,4197.906
6/15/1995,4198.23
7/15/1995,4198.2
8/15/1995,4197.91
9/15/1995,4197.607
10/15/1995,4197.261
11/15/1995,4197.2
12/15/1995,4197.268
1/15/1996,4197.461
2/15/1996,4197.717
3/15/1996,4197.968
4/15/1996,4198.12
5/15/1996,4198.174
6/15/1996,4198.197
7/15/1996,4198.016
8/15/1996,4197.729
9/15/1996,4197.337
10/15/1996,4197.177
11/15/1996,4197.147
12/15/1996,4197.245
1/15/1997,4197.613
2/15/1997,4197.932
3/15/1997,4198.184
4/15/1997,4198.397
5/15/1997,4198.726
6/15/1997,4198.96
7/15/1997,4199.01
8/15/1997,4198.958
9/15/1997,4198.957
10/15/1997,4198.981
11/15/1997,4199.03
12/15/1997,4199.245
1/15/1998,4199.542
2/15/1998,4200
3/15/1998,4200.561
4/15/1998,4201.077
5/15/1998,4201.494
6/15/1998,4201.97
7/15/1998,4202.084
8/15/1998,4201.91
9/15/1998,4201.76
10/15/1998,4201.671
11/15/1998,4201.667
12/15/1998,4201.8
1/15/1999,4202.026
2/15/1999,4202.307
3/15/1999,4202.571
4/15/1999,4202.75
5/15/1999,4203.042
6/15/1999,4203.293
7/15/1999,4203.142
8/15/1999,4202.758
9/15/1999,4202.317
10/15/1999,4202.065
11/15/1999,4201.923
12/15/1999,4201.977
1/15/2000,4202.126
2/15/2000,4202.403
3/15/2000,4202.761
4/15/2000,4202.817
5/15/2000,4202.745
6/15/2000,4202.38
7/15/2000,4201.871
8/15/2000,4201.313
9/15/2000,4200.98
10/15/2000,4200.613
11/15/2000,4200.543
12/15/2000,4200.584
1/15/2001,4200.665
2/15/2001,4200.768
3/15/2001,4200.906
4/15/2001,4200.94
5/15/2001,4200.752
6/15/2001,4200.38
7/15/2001,4199.952
8/15/2001,4199.371
9/15/2001,4198.9
10/15/2001,4198.495
11/15/2001,4198.418
12/15/2001,4198.608
1/15/2002,4198.786
2/15/2002,4198.881
3/15/2002,4198.922
4/15/2002,4199.036
5/15/2002,4199.063
6/15/2002,4198.771
7/15/2002,4198.24
8/15/2002,4197.605
9/15/2002,4197.183
10/15/2002,4196.952
11/15/2002,4196.888
12/15/2002,4196.935
1/15/2003,4197.048
2/15/2003,4197.223
3/15/2003,4197.257
4/15/2003,4197.221
5/15/2003,4197.115
6/15/2003,4196.739
7/15/2003,4196.262
8/15/2003,4195.724
9/15/2003,4195.242
10/15/2003,4194.876
11/15/2003,4194.668
12/15/2003,4194.667
1/15/2004,4194.871
2/15/2004,4195.083
3/15/2004,4195.445
4/15/2004,4195.566
5/15/2004,4195.437
6/15/2004,4195.212
7/15/2004,4194.765
8/15/2004,4194.225
9/15/2004,4193.859
10/15/2004,4193.626
11/15/2004,4193.693
12/15/2004,4193.744
1/15/2005,4194.241
2/15/2005,4194.644
3/15/2005,4194.905
4/15/2005,4195.145
5/15/2005,4195.755
6/15/2005,4196.28
7/15/2005,4196.24
8/15/2005,4195.762
9/15/2005,4195.268
10/15/2005,4194.985
11/15/2005,4194.934
12/15/2005,4194.953
1/15/2006,4195.37
2/15/2006,4195.719
3/15/2006,4196.018
4/15/2006,4196.551
5/15/2006,4196.917
6/15/2006,4196.979
7/15/2006,4196.721
8/15/2006,4196.215
9/15/2006,4195.809
10/15/2006,4195.772
11/15/2006,4195.789
12/15/2006,4195.935
1/15/2007,4196.143
2/15/2007,4196.337
3/15/2007,4196.646
4/15/2007,4196.783
5/15/2007,4196.657
6/15/2007,4196.357
7/15/2007,4195.861
8/15/2007,4195.328
9/15/2007,4194.845
10/15/2007,4194.593
11/15/2007,4194.482
12/15/2007,4194.489
1/15/2008,4194.674
2/15/2008,4194.871
3/15/2008,4195.105
4/15/2008,4195.204
5/15/2008,4195.116
6/15/2008,4194.997
7/15/2008,4194.616
8/15/2008,4194.1
9/15/2008,4193.616
10/15/2008,4193.372
11/15/2008,4193.265
12/15/2008,4193.254
1/15/2009,4193.434
2/15/2009,4193.778
3/15/2009,4194.115
4/15/2009,4194.334
5/15/2009,4194.544
6/15/2009,4194.785
7/15/2009,4194.825
8/15/2009,4194.417
9/15/2009,4194.051
10/15/2009,4193.786
11/15/2009,4193.636
12/15/2009,4193.647
1/15/2010,4193.806
2/15/2010,4194.078
3/15/2010,4194.325
4/15/2010,4194.485
5/15/2010,4194.567
6/15/2010,4194.568
7/15/2010,4194.313
8/15/2010,4193.776
9/15/2010,4193.304
10/15/2010,4192.964
11/15/2010,4192.91
12/15/2010,4193.169
1/15/2011,4193.617
2/15/2011,4194.083
3/15/2011,4194.548
4/15/2011,4195.137
5/15/2011,4195.836
6/15/2011,4196.764
7/15/2011,4197.094
8/15/2011,4197.06
9/15/2011,4196.805
10/15/2011,4196.72
11/15/2011,4196.759
12/15/2011,4196.904
1/15/2012,4197.223
2/15/2012,4197.621
3/15/2012,4197.715
4/15/2012,4197.825
5/15/2012,4197.713
6/15/2012,4197.265
7/15/2012,4196.753
8/15/2012,4196.255
9/15/2012,4195.806
10/15/2012,4195.452
11/15/2012,4195.453
12/15/2012,4195.635
1/15/2013,4195.827
2/15/2013,4196.039
3/15/2013,4196.169
4/15/2013,4196.23
5/15/2013,4196.105
6/15/2013,4195.79
7/15/2013,4195.295
8/15/2013,4194.716
9/15/2013,4194.39
10/15/2013,4194.081
11/15/2013,4193.952
12/15/2013,4193.883
1/15/2014,4193.985
2/15/2014,4194.157
3/15/2014,4194.453
4/15/2014,4194.569
5/15/2014,4194.375
6/15/2014,4194.017
7/15/2014,4193.657
8/15/2014,4193.236
9/15/2014,4192.88
10/15/2014,4192.784
11/15/2014,4192.573
12/15/2014,4192.514
1/15/2015,4192.546
2/15/2015,4192.57
3/15/2015,4192.551
4/15/2015,4192.397
5/15/2015,4192.353
6/15/2015,4192.364
7/15/2015,4191.881
8/15/2015,4191.398
9/15/2015,4190.982
10/15/2015,4190.909
11/15/2015,4190.703
12/15/2015,4190.657
1/15/2016,4190.731
2/15/2016,4190.84
3/15/2016,4190.876
4/15/2016,4190.931
5/15/2016,4190.855
6/15/2016,4190.615
7/15/2016,4190.099
8/15/2016,4189.479
9/15/2016,4189.162
10/15/2016,4189.182
11/15/2016,4189.207
12/15/2016,4189.881
1/15/2017,4191.081
2/15/2017,4192.021
3/15/2017,4192.9
4/15/2017,4193.61
5/15/2017,4194.284
6/15/2017,4194.373
7/15/2017,4193.984
8/15/2017,4193.448
9/15/2017,4193.013
10/15/2017,4192.868
11/15/2017,4192.957
12/15/2017,4193.081
1/15/2018,4193.335
2/15/2018,4193.646
3/15/2018,4193.897
4/15/2018,4194.157
5/15/2018,4194.09
6/15/2018,4193.82
7/15/2018,4193.197
8/15/2018,4192.639
9/15/2018,4192.12
10/15/2018,4191.877
11/15/2018,4191.767
12/15/2018,4191.89
1/15/2019,4192.039
2/15/2019,4192.364
3/15/2019,4192.829
4/15/2019,4193.293
5/15/2019,4193.648
6/15/2019,4194.017
7/15/2019,4193.842
8/15/2019,4193.316
9/15/2019,4192.883
10/15/2019,4192.852
11/15/2019,4192.727
12/15/2019,4193.035
1/15/2020,4193.3
2/15/2020,4193.662
3/15/2020,4193.903
4/15/2020,4194.12
5/15/2020,4193.958
6/15/2020,4193.727
7/15/2020,4193.361
8/15/2020,4192.797
9/15/2020,4192.26
10/15/2020,4191.984
11/15/2020,4191.8
12/15/2020,4191.803
1/15/2021,4191.913
2/15/2021,4192.107
3/15/2021,4192.239
4/15/2021,4192.2
5/15/2021,4192.023
6/15/2021,4191.577
7/15/2021,4191.058
8/15/2021,4190.626
9/15/2021,4190.307
10/15/2021,4190.042
11/15/2021,4190.133
12/15/2021,4190.223
1/15/2022,4190.384
2/15/2022,4190.496
3/15/2022,4190.584
4/15/2022,4190.59
5/15/2022,4190.41
6/15/2022,4190.143
7/15/2022,4189.626
8/15/2022,4189.352
9/15/2022,4189.1
10/1/2022,4189
10/2/2022,4188.9
10/3/2022,4188.9
10/4/2022,4188.9
10/5/2022,4188.9
10/6/2022,4188.9
10/7/2022,4188.9
10/8/2022,4188.9
10/9/2022,4188.9
10/10/2022,4188.9
10/11/2022,4188.9
10/12/2022,4188.8
10/13/2022,4188.8
10/14/2022,4188.8
10/15/2022,4188.8
10/16/2022,4188.7
10/17/2022,4188.7
10/18/2022,4188.8
10/19/2022,4188.8
10/20/2022,4188.8
10/21/2022,4188.8
10/22/2022,4188.8
10/23/2022,4188.8
10/24/2022,4188.7
10/25/2022,4188.7
10/26/2022,4188.8
10/27/2022,4188.6
10/28/2022,4188.7
10/29/2022,4188.7
10/30/2022,4188.7
10/31/2022,4188.7
11/1/2022,4188.6
11/2/2022,4188.8
11/3/2022,4188.6
11/4/2022,4188.7
11/5/2022,4188.7
11/6/2022,4188.7
11/7/2022,4188.5
11/8/2022,4188.6
11/9/2022,4188.7
11/10/2022,4188.8
11/11/2022,4188.8
11/12/2022,4188.7
11/13/2022,4188.7
11/14/2022,4188.7
11/15/2022,4188.7
11/16/2022,4188.7
11/17/2022,4188.8
11/18/2022,4188.8
11/19/2022,4188.7
11/20/2022,4188.8
11/21/2022,4188.8
11/22/2022,4188.7
11/23/2022,4188.7
11/24/2022,4188.7
11/25/2022,4188.8
11/26/2022,4188.8
11/27/2022,4188.8
11/28/2022,4188.9
11/29/2022,4188.8
11/30/2022,4188.8
12/1/2022,4189
12/2/2022,4189.2
12/3/2022,4188.9
12/4/2022,4188.9
12/5/2022,4188.9
12/6/2022,4188.9
12/7/2022,4188.9
12/8/2022,4188.9
12/9/2022,4188.9
12/10/2022,4189
12/11/2022,4189
12/12/2022,4188.9
12/13/2022,4188.9
12/14/2022,4189
12/15/2022,4189
12/16/2022,4189
12/17/2022,4189
12/18/2022,4189
12/19/2022,4189
12/20/2022,4189
12/21/2022,4189.1
12/22/2022,4189
12/23/2022,4189
12/24/2022,4189
12/25/2022,4189
12/26/2022,4189
12/27/2022,4189
12/28/2022,4189.2
12/29/2022,4189
12/30/2022,4189.1
12/31/2022,4189.1
1/1/2023,4189.3
1/2/2023,4189.3
1/3/2023,4189.2
1/4/2023,4189.2
1/5/2023,4189.2
1/6/2023,4189.3
1/7/2023,4189.3
1/8/2023,4189.3
1/9/2023,4189.3
1/10/2023,4189.5
1/11/2023,4189.5
1/12/2023,4189.5
1/13/2023,4189.6
1/14/2023,4189.6
1/15/2023,4189.7
1/16/2023,4189.7
1/17/2023,4189.9
1/18/2023,4189.9
1/19/2023,4189.8
1/20/2023,4190
1/21/2023,4189.9
1/22/2023,4190
1/23/2023,4190.1
1/24/2023,4189.9
1/25/2023,4189.9
1/26/2023,4189.9
1/27/2023,4189.9
1/28/2023,4190
1/29/2023,4190.2
1/30/2023,4190.1
1/31/2023,
2/1/2023,4190
2/2/2023,4190
2/3/2023,4190
2/4/2023,4190
2/5/2023,4190
2/6/2023,4190
2/7/2023,4190
2/8/2023,4190.1
2/9/2023,4190.1
2/10/2023,4190.1
2/11/2023,4190.1
2/12/2023,4190.1
2/13/2023,4190.1
2/14/2023,4190.3
2/15/2023,4190.4
2/16/2023,4190.1
2/17/2023,4190.1
2/18/2023,4190.1
2/19/2023,4190.1
2/20/2023,4190.1
2/21/2023,4190.2
2/22/2023,4190.5
2/23/2023,4190.1
2/24/2023,4190.2
2/25/2023,4190.2
2/26/2023,4190.2
2/27/2023,4190
2/28/2023,4190.1
3/1/2023,4190.3
3/2/2023,4190.3
3/3/2023,4190.3
3/4/2023,4190.3
3/5/2023,4190.4
3/6/2023,4190.4
3/7/2023,4190.4
3/8/2023,4190.4
3/9/2023,4190.5
3/10/2023,4190.4
3/11/2023,4190.5
3/12/2023,4190.5
3/13/2023,4190.6
3/14/2023,4190.5
3/15/2023,4190.8
3/16/2023,4190.9
3/17/2023,4190.7
3/18/2023,4190.7
3/19/2023,4190.7
3/20/2023,4190.8
3/21/2023,4190.8
3/22/2023,4191
3/23/2023,4191
3/24/2023,4191.3
3/25/2023,4191.2
3/26/2023,4191.2
3/27/2023,4191.2
3/28/2023,4191.1
3/29/2023,4191.2
3/30/2023,4191.4
3/31/2023,4191.3
4/1/2023,4191.3
4/2/2023,4191.5
4/3/2023,4191.8
4/4/2023,4191.7
4/5/2023,4191.6
4/6/2023,4191.6
4/7/2023,4191.7
4/8/2023,4191.7
4/9/2023,4191.8
4/10/2023,4191.8
4/11/2023,4191.8
4/12/2023,4191.9
4/13/2023,4192
4/14/2023,4192
4/15/2023,4192
4/16/2023,4192
4/17/2023,4192.1
4/18/2023,4192.4
4/19/2023,4192.2
4/20/2023,4192.2
4/21/2023,4192.2
4/22/2023,4192.2
4/23/2023,4192.3
4/24/2023,4192.4
4/25/2023,4192.4
4/26/2023,4192.4
4/27/2023,4192.5
4/28/2023,4192.5
4/29/2023,4192.5
4/30/2023,4192.5
5/1/2023,4192.6
5/2/2023,4192.6
5/3/2023,4192.6
5/4/2023,4192.6
5/5/2023,4192.5
5/6/2023,4192.7
5/7/2023,4192.7
5/8/2023,4192.8
5/9/2023,4192.9
5/10/2023,4193
5/11/2023,4192.9
5/12/2023,4193
5/13/2023,4193
5/14/2023,4192.9
5/15/2023,4193.1
5/16/2023,4193.1
5/17/2023,4193.2
5/18/2023,4193.3
5/19/2023,4193.3
5/20/2023,4193.4
5/21/2023,4193.4
5/22/2023,4193.4
5/23/2023,4193.4
5/24/2023,4193.6
5/25/2023,4193.6
5/26/2023,4193.5
5/27/2023,4193.6
5/28/2023,4193.7
5/29/2023,4193.7
